"﻿""round""",source_role,source_path,copied_file,format,n_rows,n_columns_or_keys,sha256,redistribution_boundary
R67,geometry null fraction summary,data/R67_geometry_null_sensitivity/geometry_null_sensitivity_fraction_summary.csv,tables/R67_geometry_null_sensitivity_fraction_summary.csv,csv,3.0,18.0,c54fda77deb9752e4c4eb922c321a16ba9468781b305c24c561aa38dd37a521a,derived project table; raw OSM/Geofabrik archives excluded
R67,geometry null replicates,data/R67_geometry_null_sensitivity/geometry_null_sensitivity_replicates.csv,tables/R67_geometry_null_sensitivity_replicates.csv,csv,162.0,68.0,f647855cca481982b4fd91957cb73a21d271e8baac6cc634a941221ab8f4e0cf,derived project table; raw OSM/Geofabrik archives excluded
R67,geometry null summary metrics,data/R67_geometry_null_sensitivity/R67_summary.json,tables/R67_R67_summary.json,json,1.0,17.0,59f42b0bff5011146ce10d1e6590fa98c120288047f4befb7104f66d362a217f,derived project table; raw OSM/Geofabrik archives excluded
R68,full 71-city geometry null city summary,data/R68_full71_geometry_null_ensemble/full71_geometry_null_city_summary.csv,tables/R68_full71_geometry_null_city_summary.csv,csv,71.0,29.0,d109686e20dbaaf8406f2285cc696dd9fb4754f7844a5918d4e8eea15378507a,derived project table; raw OSM/Geofabrik archives excluded
R68,full 71-city geometry null macro-region summary,data/R68_full71_geometry_null_ensemble/full71_geometry_null_macro_region_summary.csv,tables/R68_full71_geometry_null_macro_region_summary.csv,csv,7.0,9.0,10c48d2801cdd530d487fcb23d1a0ab12defd4d070fd330bf875f255e9b12a31,derived project table; raw OSM/Geofabrik archives excluded
R68,full 71-city geometry null replicates,data/R68_full71_geometry_null_ensemble/full71_geometry_null_replicates.csv,tables/R68_full71_geometry_null_replicates.csv,csv,71.0,69.0,685193cb773c4dd7c36d6598b061b6da55e6a5b5e10c6fb6e5923794414c43e9,derived project table; raw OSM/Geofabrik archives excluded
R68,full 71-city geometry null summary metrics,data/R68_full71_geometry_null_ensemble/R68_summary.json,tables/R68_R68_summary.json,json,1.0,22.0,c017c9e839be5d83e09be8378cc298bf06f33f5b03723bf10648d0e80a2e8862,derived project table; raw OSM/Geofabrik archives excluded
R72,matched-intensity geometry vs spatial city table,data/R72_geometry_defense/matched_intensity_geometry_vs_spatial_city.csv,tables/R72_matched_intensity_geometry_vs_spatial_city.csv,csv,54.0,44.0,9622b693c0e01ea985e38e6d34608efb46bfe66bd6e35eb504399c61f1b3257c,derived project table; raw OSM/Geofabrik archives excluded
R72,matched-intensity summary,data/R72_geometry_defense/matched_intensity_summary.csv,tables/R72_matched_intensity_summary.csv,csv,3.0,17.0,091af9195a790b14b0610db6ca24540f60d320d8e1b2beca62aa3415c0a0f1fb,derived project table; raw OSM/Geofabrik archives excluded
R72,matched-intensity spatial null replicates,data/R72_geometry_defense/matched_intensity_spatial_null_replicates.csv,tables/R72_matched_intensity_spatial_null_replicates.csv,csv,63.0,34.0,30fb501ecc741569825338270e6d8a0ad59417c759015554857d5bc79d351d53,derived project table; raw OSM/Geofabrik archives excluded
R75,geometry mobility and graph-distance proxy,data/R75_submission_hardening/R72_geometry_null_mobility_summary.csv,tables/R72_geometry_null_mobility_summary.csv,csv,3.0,15.0,5c0e3a6c6718b997d8a9b59c554df2950471a5163069edca8de8d487e5cc2012,derived project table; raw OSM/Geofabrik archives excluded
R72,matched-intensity contrast summary metrics,data/R72_geometry_defense/R72_summary.json,tables/R72_R72_summary.json,json,1.0,22.0,0c5d43a80261d43bd7faad8ec8e2845bc612162946ac73eb5d7879fb5fea899e,derived project table; raw OSM/Geofabrik archives excluded
R39,threshold estimator sensitivity,data/R39_threshold_sensitivity/threshold_sensitivity_source_data.csv,tables/R39_threshold_sensitivity_source_data.csv,csv,8.0,30.0,52c50001225d8c1b9d05f016a19682f38ae01f546181c900c103d71e512d1f07,derived project table; raw OSM/Geofabrik archives excluded
R39,threshold estimator curves,data/R39_threshold_sensitivity/threshold_curves_source_data.csv,tables/R39_threshold_curves_source_data.csv,csv,336.0,5.0,09e689d40b747bacb39df01aafb07a4168574a3d0e5c5dfc92d4ef2302a8157e,derived project table; raw OSM/Geofabrik archives excluded
R39,threshold estimator sensitivity summary,data/R39_threshold_sensitivity/threshold_sensitivity.json,tables/R39_threshold_sensitivity.json,json,1.0,5.0,f4aecfb9e2f7f62663060a65b74df6f7c6664f6c00185bb4729642cb41140510,derived project table; raw OSM/Geofabrik archives excluded
R73,nested urban-form model summary,data/R73_urban_form_nested_cv/nested_model_summary.csv,tables/R73_nested_model_summary.csv,csv,10.0,17.0,ce4009a25c93c6381ef211096543bfc88855ffcbde6fb465085b0b7649507424,derived project table; raw OSM/Geofabrik archives excluded
R73,nested urban-form predictions,data/R73_urban_form_nested_cv/nested_model_predictions.csv,tables/R73_nested_model_predictions.csv,csv,710.0,9.0,26d89eab94388750d47146ef0ae94f7ffdee0e2fe6c163b477e52b1ad6ab95b5,derived project table; raw OSM/Geofabrik archives excluded
R75,nested validation submission alias,data/R75_submission_hardening/R73_leave_region_out_region_summary.csv,tables/R73_leave_region_out_region_summary.csv,csv,70.0,7.0,e93a528a4337eb3155d792ebb870c21f4b42ac633ee376588ae78fda36681cf0,derived project table; raw OSM/Geofabrik archives excluded
R73,nested urban-form summary metrics,data/R73_urban_form_nested_cv/R73_summary.json,tables/R73_R73_summary.json,json,1.0,11.0,7758554ca98aec056ce87ea5f8be8b1cbd1ff5f7243b5e4cc4ef188ea0274e7a,derived project table; raw OSM/Geofabrik archives excluded
R62,urban-form PCA scores,data/R62_urban_form_mechanism/urban_form_pca_scores.csv,tables/R62_urban_form_pca_scores.csv,csv,71.0,7.0,3b5803cab4e78bc22fdeaaee38213d28ebdc85a27511e8f02fb29dfaed73a16e,derived project table; raw OSM/Geofabrik archives excluded
R62,geometry-null pilot summary,data/R62_urban_form_mechanism/geometry_null_pilot_summary.csv,tables/R62_geometry_null_pilot_summary.csv,csv,21.0,17.0,39db36019bfcd6433c221bdeb3ab19621471794a4863aadba053a9846e33d129,derived project table; raw OSM/Geofabrik archives excluded
R62,geometry-null pilot replicates,data/R62_urban_form_mechanism/geometry_null_pilot_replicates.csv,tables/R62_geometry_null_pilot_replicates.csv,csv,21.0,33.0,465c5c3e8ff7272e9a7b3d98007e8b0fa4a988267532b0db5c6b4b10580ec3ec,derived project table; raw OSM/Geofabrik archives excluded
R75,geometry mobility and graph-distance proxy,data/R75_submission_hardening/R72_geometry_graph_distance_summary.csv,tables/R72_geometry_graph_distance_summary.csv,csv,3.0,12.0,4fbdf62658e2832d9b605ff284d6b27855e53dfc76a51d042ee244c6aa56b88d,derived project table; raw OSM/Geofabrik archives excluded
R75,geometry mobility and graph-distance proxy,data/R75_submission_hardening/R72_geometry_rejection_reason_summary.csv,tables/R72_geometry_rejection_reason_summary.csv,csv,3.0,12.0,ca3fed8d77268367afa1afc56d55e740fac1da2e0a16d936c7c42bf6d27a553f,derived project table; raw OSM/Geofabrik archives excluded
R75,edge-overlap availability and turnover proxy,data/R75_submission_hardening/R72_geometry_edge_jaccard_by_city.csv,tables/R72_geometry_edge_jaccard_by_city.csv,csv,54.0,19.0,aa5a51e898fa7cd59cb0f8be0175a590576c30d41a57acaf8422dd005f17c1cc,derived project table; raw OSM/Geofabrik archives excluded
R75,nested validation submission alias,data/R75_submission_hardening/R73_feature_groups.csv,tables/R73_feature_groups.csv,csv,176.0,5.0,a34ae2a92dab21f57cd43f01fbc2bb58fca45e601fa61c2fbc9b70a0471ff5b7,derived project table; raw OSM/Geofabrik archives excluded
R75,nested validation submission alias,data/R75_submission_hardening/R73_leave_region_out_predictions.csv,tables/R73_leave_region_out_predictions.csv,csv,710.0,7.0,88094f500a23d78df19f8e61db31c208a6cde59416f4e747f782a35d30f35394,derived project table; raw OSM/Geofabrik archives excluded
R75,nested validation submission alias,data/R75_submission_hardening/R73_nested_model_ladder_city_predictions.csv,tables/R73_nested_model_ladder_city_predictions.csv,csv,710.0,9.0,5415a1e3592824769df2b6cf6e44b4e9ee810395f2e7af260065f090eb7e3cd9,derived project table; raw OSM/Geofabrik archives excluded
R75,nested validation submission alias,data/R75_submission_hardening/R73_nested_model_ladder_summary.csv,tables/R73_nested_model_ladder_summary.csv,csv,10.0,17.0,eadb478d2578d02b4d28121f06238409c44fc3ad3013a6321c75fab886b7c1f3,derived project table; raw OSM/Geofabrik archives excluded
R75,figure source data,data/R75_submission_hardening/Fig4_nested_validation_source_data.csv,figures/Fig4_nested_validation_source_data.csv,csv,10.0,11.0,3d672cb6b3f5ac9998355850acba648fe6945927467141b68694d0437c5f3cea,derived project table; raw OSM/Geofabrik archives excluded
R78,observed-road fine-grid estimator check,data/R78_observed_road_fine_estimator_check/R78_observed_road_fine_estimator_21city.csv,tables/R78_observed_road_fine_estimator_21city.csv,csv,21.0,24.0,adfe41637da250a2703a184edf32d41b5092b05144b22e5b814edec72fcebc98,derived project table; raw OSM/Geofabrik archives excluded
R78,observed-road fine-grid estimator summary,data/R78_observed_road_fine_estimator_check/R78_observed_road_fine_estimator_summary.json,tables/R78_observed_road_fine_estimator_summary.json,json,1.0,17.0,eeafcb440347fba9eb1b80b99999de93c4c7df251dae29b8986b0c5163a42ab3,derived project table; raw OSM/Geofabrik archives excluded
R78,matched-intensity contrast with fine observed-road thresholds,data/R78_observed_road_fine_estimator_check/R78_matched_intensity_fine_observed_substitution.csv,tables/R78_matched_intensity_fine_observed_substitution.csv,csv,54.0,50.0,6e97c7c20951423857338d9dba6c6e2db0861c28b15e78fd5ea35f99e2245e25,derived project table; raw OSM/Geofabrik archives excluded
R78,matched-intensity fine-observed substitution summary,data/R78_observed_road_fine_estimator_check/R78_matched_intensity_fine_observed_summary.csv,tables/R78_matched_intensity_fine_observed_summary.csv,csv,3.0,10.0,43a92be507e3cf53dec860603613c37d050bd76dbfe6a35588201ce03c8df3c4,derived project table; raw OSM/Geofabrik archives excluded
R80,geometry-null fraction distance audit,data/R80_geometry_distance_audit/R80_geometry_null_fraction_distance_audit.csv,tables/R80_geometry_null_fraction_distance_audit.csv,csv,3.0,16.0,d28af2900c8f0e72ef08d728f52f2b8ae7d504744e16a528ddeeed6096c67856,derived project table/figure; raw OSM/Geofabrik archives excluded
R80,geometry-null embedded metric distance audit,data/R80_geometry_distance_audit/R80_geometry_null_metric_distance_audit.csv,tables/R80_geometry_null_metric_distance_audit.csv,csv,30.0,10.0,dcd8e2dc0891cf515847c92eabca3599d2f123a055be78b1b979302a5acecf05,derived project table/figure; raw OSM/Geofabrik archives excluded
R80,geometry-null city distance audit,data/R80_geometry_distance_audit/R80_geometry_null_city_distance_audit.csv,tables/R80_geometry_null_city_distance_audit.csv,csv,54.0,22.0,38d34c081090fc61015f32453405e6a0e3f4d17b4a39d51d2dac61ac4fbbb8df,derived project table/figure; raw OSM/Geofabrik archives excluded
R80,full-71 low-intensity distance audit,data/R80_geometry_distance_audit/R80_full71_low_intensity_distance_audit.csv,tables/R80_full71_low_intensity_distance_audit.csv,csv,10.0,8.0,89c8487641bcc559d24572ca06d8a25269689c7aed9e41585b1e904c0c26cdb4,derived project table/figure; raw OSM/Geofabrik archives excluded
R80,supplementary geometry-null distance-audit figure,figures/Fig_R80_geometry_null_distance_audit.svg,figures/FigS_geometry_null_distance_audit.svg,svg,,,efbc1cde49679db4e11a65322d62f8a26e6b9a1a35481170eff58626f37e0f6d,derived project table/figure; raw OSM/Geofabrik archives excluded
R76,Nested validation and public-control source data,data/R76_nested_validation_figure/Fig4_combined_nested_public_source_data.csv,figures/Fig4_combined_nested_public_source_data.csv,csv,40.0,11.0,c41564d48f0c203ec650e2f27f1d53662247ae6f3eeeec217300d6537bcdb30b,derived project table; raw OSM/Geofabrik archives excluded
R77,physics takeaway and matched-intensity main-result source data,data/R77_physics_takeaway/R77_matched_intensity_main_result_source_data.csv,figures/R77_matched_intensity_main_result_source_data.csv,csv,3.0,17.0,562a371f742922cf2ea9eba7b58b5946a1f519ed2751d48cb55fd8f1232f3c1b,derived project table; raw OSM/Geofabrik archives excluded
R77,physics takeaway and matched-intensity main-result source data,data/R77_physics_takeaway/R77_geometry_absorption_city_table.csv,tables/R77_geometry_absorption_city_table.csv,csv,71.0,40.0,6f77941ff8e20957b2f580d967c2580e77a396b81293432937ffa43a0be55145,derived project table; raw OSM/Geofabrik archives excluded
R77,physics takeaway and matched-intensity main-result source data,data/R77_physics_takeaway/R77_geometry_absorption_correlations.csv,tables/R77_geometry_absorption_correlations.csv,csv,9.0,8.0,947676740df96759ad9d31b943ab24e3531d4371c730f51335c9c3ba27af1c0d,derived project table; raw OSM/Geofabrik archives excluded
R77,physics takeaway and matched-intensity main-result source data,data/R77_physics_takeaway/R77_kappa_predictive_relation.csv,tables/R77_kappa_predictive_relation.csv,csv,71.0,8.0,427d8864f3dd74ef61a41262a9a5155a899ba9f93b2121267a79ba9c7e477409,derived project table; raw OSM/Geofabrik archives excluded
R77,physics takeaway and matched-intensity main-result source data,data/R77_physics_takeaway/R77_kappa_predictive_metrics.json,tables/R77_kappa_predictive_metrics.json,json,1.0,12.0,9e5a21afb036dc1d9c48acefa18c592c6954cbd86519b616ac6fe24a211a1587,derived project table; raw OSM/Geofabrik archives excluded
R81,full 71-city high-intensity geometry null city summary,data/R81_full71_high_intensity_geometry_null_ensemble/full71_geometry_null_city_summary.csv,tables/R81_full71_high_intensity_geometry_null_city_summary.csv,csv,142.0,29.0,29894f195bf98d99af1f1e380a7355560be2329880515d4ae724d8ea05e9701f,derived project table/figure; raw OSM/Geofabrik archives excluded
R81,full 71-city high-intensity geometry null macro-region summary,data/R81_full71_high_intensity_geometry_null_ensemble/full71_geometry_null_macro_region_summary.csv,tables/R81_full71_high_intensity_geometry_null_macro_region_summary.csv,csv,14.0,9.0,214800dc35992b6f4c2eec9fc55c4298150227a1737a9ae59084bfabd2f2cef9,derived project table/figure; raw OSM/Geofabrik archives excluded
R81,full 71-city high-intensity geometry null replicates,data/R81_full71_high_intensity_geometry_null_ensemble/full71_geometry_null_replicates.csv,tables/R81_full71_high_intensity_geometry_null_replicates.csv,csv,426.0,69.0,af8b54d4ee36e83e4a7cac1fd132c18673f50982822acad2ccc747ba5a6a8071,derived project table/figure; raw OSM/Geofabrik archives excluded
R81,full 71-city high-intensity geometry null summary metrics,data/R81_full71_high_intensity_geometry_null_ensemble/R81_summary.json,tables/R81_R81_summary.json,json,1.0,22.0,23213c22d00963794cd15c1bab4c62a6239dbd3fb10f8860f4f40fd9146847dd,derived project table/figure; raw OSM/Geofabrik archives excluded
R81,supplementary full-city high-intensity geometry-null figure,figures/Fig_R81_full71_high_intensity_geometry_null_ensemble.svg,figures/FigS_R81_full71_high_intensity_geometry_null_ensemble.svg,svg,,,f7b5c16fe34729a112bcd44988a1e92003615ba8a6decdbc18f52d7e90bc5eee,derived project table/figure; raw OSM/Geofabrik archives excluded
R81,supplementary full-city high-intensity geometry-null figure,figures/Fig_R81_full71_high_intensity_geometry_null_ensemble.pdf,figures/FigS_R81_full71_high_intensity_geometry_null_ensemble.pdf,pdf,,,8d7d14c0823f88283ad3513d073ee3122d085b119081b4e7b86ef53f72ae7221,derived project table/figure; raw OSM/Geofabrik archives excluded
R81,supplementary full-city high-intensity geometry-null figure,figures/Fig_R81_full71_high_intensity_geometry_null_ensemble.png,figures/FigS_R81_full71_high_intensity_geometry_null_ensemble.png,png,,,430a2ce688144744b62f657cf14ce32668a3996b5ebd7ab51b992693bc342e52,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,fine-grid matched spatial and strict-geometry null thresholds,data/R90_finegrid_edge_audit/R90_finegrid_null_thresholds.csv,tables/R90_finegrid_null_thresholds.csv,csv,84.0,34.0,2a60ac1ecde0cbcccdd66a5cbe64852a0876fbd886541c45c210b76fe4aaac09,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,exact edge-overlap and threshold-curve distance audit,data/R90_finegrid_edge_audit/R90_edge_overlap_audit.csv,tables/R90_edge_overlap_audit.csv,csv,84.0,22.0,3b79cf8fdb71f1934e3a48a99fd6e0cb405b60c9c7bb6d40e660bd92ac539ba4,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,matched spatial-versus-geometry fine-grid pair summary,data/R90_finegrid_edge_audit/R90_spatial_geometry_pair_summary.csv,tables/R90_spatial_geometry_pair_summary.csv,csv,42.0,9.0,34d059feae8238e5e3ab3bd1ec09111ce937478cc0b390a694b35b68bbd2277e,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,fine-grid and edge-overlap audit summary metrics,data/R90_finegrid_edge_audit/R90_summary.json,tables/R90_R90_summary.json,json,1.0,19.0,ffd877c1f525d8a707f6a717f9c14ae335cc7a63d2b38ff717b2fc5d2a961a7a,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,supplementary fine-grid and edge-overlap audit figure,figures/Fig_R90_finegrid_edge_audit.svg,figures/FigS_R90_finegrid_edge_audit.svg,svg,,,92b7fea3beefa0139156389076f4196c39c3a185c9a988226a22a1da7fa2b888,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,supplementary fine-grid and edge-overlap audit figure,figures/Fig_R90_finegrid_edge_audit.pdf,figures/FigS_R90_finegrid_edge_audit.pdf,pdf,,,db6395542bc3bb5b037ed1acac6bac87922557e8d380b68fb8a6cf054538326c,derived project table/figure; raw OSM/Geofabrik archives excluded
R90,supplementary fine-grid and edge-overlap audit figure,figures/Fig_R90_finegrid_edge_audit.png,figures/FigS_R90_finegrid_edge_audit.png,png,,,52abb8d493a6f4e8e5fa4cdd7a21ffdb0a879eab82f005329286dfd65d2153a7,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,71-city non-backtracking spectral threshold proxy,data/R95_nonbacktracking_spectral_layer/N95_nonbacktracking_thresholds.csv,tables/N95_nonbacktracking_thresholds.csv,csv,71.0,29.0,7cd3ac6fbf01bc2eadf5712182fed8a86b07fdb66b08398a95b4a568a4ac7c28,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,"CEBH, non-backtracking, spatial-null and geometry-null decomposition",data/R95_nonbacktracking_spectral_layer/N95_cebh_nb_geometry_decomposition.csv,tables/N95_cebh_nb_geometry_decomposition.csv,csv,71.0,51.0,154df467313391e96a055a157d6214a8b3ed6487a6cb277d3b395809ed61afb4,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,non-backtracking spectral localization metrics,data/R95_nonbacktracking_spectral_layer/N95_nb_spectrum_localization_metrics.csv,tables/N95_nb_spectrum_localization_metrics.csv,csv,71.0,19.0,29e93f806b8d0691e2115ce9b61e942a5a14b9f406646281eeabef4fd29a7b5f,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,160-versus-640 iteration stability audit for the non-backtracking proxy,data/R95_nonbacktracking_spectral_layer/R95_nb_iteration_stability_audit.csv,tables/R95_nb_iteration_stability_audit.csv,csv,71.0,16.0,0137dfc227b10f471a8c053bb82f1b95907db330ab5984faefcd4fe9f0950d41,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,non-backtracking spectral audit summary metrics,data/R95_nonbacktracking_spectral_layer/R95_summary.json,tables/R95_R95_summary.json,json,1.0,22.0,b2893f6c1f0594e84f43561481f852f882b05fd215d453a9d0c2d3cadf9b047d,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,non-backtracking iteration-stability summary metrics,data/R95_nonbacktracking_spectral_layer/R95_nb_iteration_stability_summary.json,tables/R95_nb_iteration_stability_summary.json,json,1.0,12.0,45931bd695645806d2572cc9d5076d6312746f098d3edcfe6b093a691723f101,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,supplementary non-backtracking spectral audit figure,figures/Fig_R95_nonbacktracking_spectral_layer.svg,figures/FigS_R95_nonbacktracking_spectral_layer.svg,svg,,,26b4f3005255bd60cd7c5ae8c2d9443da3146c83c8d2cdea6223f526ffe6c6fb,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,supplementary non-backtracking spectral audit figure,figures/Fig_R95_nonbacktracking_spectral_layer.pdf,figures/FigS_R95_nonbacktracking_spectral_layer.pdf,pdf,,,52f536e9b0a95ceb4122c35b579ba140fc70d7a53a1e7f5cbf5f11540133fc2a,derived project table/figure; raw OSM/Geofabrik archives excluded
R95,supplementary non-backtracking spectral audit figure,figures/Fig_R95_nonbacktracking_spectral_layer.png,figures/FigS_R95_nonbacktracking_spectral_layer.png,png,,,cfa46da2d755342669fe9a6b19128d877b25702bf87d1e8bc279cd9d317fd761,derived project table/figure; raw OSM/Geofabrik archives excluded
N99,71-city compact transfer-error correction predictions,data/N99_prediction_correction_law/N99_prediction_city_predictions.csv,tables/N99_prediction_city_predictions.csv,csv,71.0,29.0,11ee1f87cf3a234f4b7ea3cf591c84c511047ee389064b6bce82fdc2fd06d8da,derived project table/figure; raw OSM/Geofabrik/GHSL/WDI archives excluded
